epoch,anomaly,top,top_stat,chosen
1,0,vlink:US0->CS4,0.000,4;0;3;2
2,0,vlink:US0->CS4,0.000,7;4;2;3
3,0,vlink:US0->CS4,0.000,5;7;3;2
4,0,vlink:US0->CS4,0.000,6;5;2;7
5,0,vlink:US0->CS4,0.000,42;6;7;5
6,0,vlink:US0->CS4,0.000,43;42;5;7
7,0,vlink:US0->CS4,0.000,40;43;42;7
8,0,vlink:US0->CS4,0.000,41;40;42;7
9,0,vlink:US0->CS4,0.000,46;41;42;7
10,0,vlink:US0->CS4,0.000,47;46;42;7
11,0,vlink:US0->CS4,0.000,44;47;46;42
12,0,vlink:US0->CS4,0.000,45;44;1;0
13,0,vlink:US1->CS1,0.000,48;4;3;2
14,0,vlink:US1->CS9,0.000,51;6;5;43
15,0,vlink:US1->CS13,0.000,49;40;41;7
16,0,vlink:US10->CS10,0.000,50;42;46;47
17,0,vlink:US11->CS3,0.000,52;44;7;47
18,0,vlink:US0->CS4,0.000,55;47;7;0
19,0,vlink:US0->CS4,0.000,53;1;45;2
20,0,vlink:US1->CS9,0.000,54;7;3;47
21,0,vlink:US1->CS9,0.000,58;4;43;6
22,0,vlink:US10->CS10,0.000,59;5;48;41
23,0,vlink:US10->CS10,0.000,56;40;46;42
24,0,vlink:US1->CS13,0.000,57;51;44;49
25,0,vlink:US14->CS6,3.702,62;0;47;50
26,0,vlink:US14->CS6,3.702,63;7;1;2
27,0,vlink:US14->CS6,3.702,60;57;52;45
28,0,vlink:US14->CS6,3.519,61;57;55;3
29,0,vlink:US14->CS6,3.465,64;57;6;43
30,0,vlink:US14->CS6,3.407,67;57;53;4
31,0,vlink:US14->CS6,3.348,65;54;42;47
32,0,vlink:US14->CS6,3.348,66;41;5;57
33,0,vlink:US14->CS6,3.205,68;46;7;48
34,0,vlink:US14->CS6,3.205,71;58;40;44
35,0,vlink:US14->CS6,3.205,69;57;59;0
36,0,vlink:US14->CS6,2.983,70;51;49;57
37,0,vlink:US14->CS6,2.916,74;56;1;50
38,0,vlink:US14->CS6,2.916,75;2;57;45
39,0,vlink:US14->CS6,2.790,72;62;3;57
40,0,vlink:US14->CS6,2.718,73;52;47;6
41,0,vlink:US14->CS6,2.718,78;57;43;55
42,0,vlink:US14->CS6,2.611,79;60;63;42
43,0,vlink:US14->CS6,2.611,76;4;57;61
44,0,vlink:US14->CS6,2.478,77;53;7;64
45,0,vlink:US14->CS6,2.478,10;5;41;57
46,0,vlink:US14->CS6,5.224,11;54;57;67
47,0,vlink:US14->CS6,5.160,8;57;46;65
48,0,vlink:US14->CS6,5.099,9;57;48;44
49,0,vlink:US14->CS6,5.043,80;40;57;66
50,0,vlink:US14->CS6,4.976,83;0;57;58
51,0,vlink:US14->CS6,4.911,81;68;57;59
52,1,vlink:US14->CS6,7.688,82;57;1;71
53,1,vlink:US14->CS6,7.627,84;57;49;51
54,1,vlink:US14->CS6,7.573,87;57;69;50
55,1,vlink:US14->CS6,7.530,85;57;47;2
