epoch,anomaly,top,top_stat,chosen
1,0,vlink:US0->CS8,0.000,4;3;0;1
2,0,vlink:US0->CS8,0.000,7;4;3;0
3,0,vlink:US0->CS8,0.000,5;7;3;0
4,0,vlink:US0->CS8,0.000,6;5;3;0
5,0,vlink:US0->CS8,0.000,42;6;0;5
6,0,vlink:US0->CS8,0.000,43;42;6;5
7,0,vlink:US0->CS8,0.000,40;43;6;5
8,0,vlink:US0->CS8,0.000,41;40;5;43
9,0,vlink:US0->CS8,0.000,46;41;43;40
10,0,vlink:US0->CS8,0.000,47;46;40;41
11,0,vlink:US0->CS8,0.000,44;47;40;46
12,0,vlink:US0->CS8,0.000,45;44;2;1
13,0,vlink:US1->CS1,0.000,48;4;7;3
14,0,vlink:US0->CS0,0.000,51;0;42;6
15,0,vlink:US1->CS5,0.000,49;5;43;41
16,0,vlink:US10->CS2,0.000,50;40;47;46
17,0,vlink:US0->CS4,0.000,52;44;41;1
18,0,vlink:US11->CS7,0.000,55;41;3;6
19,0,vlink:US11->CS7,0.000,53;41;45;2
20,0,vlink:US1->CS5,0.000,54;7;42;4
21,0,vlink:US1->CS5,0.000,58;43;0;41
22,0,vlink:US1->CS5,0.000,59;48;5;40
23,0,vlink:US10->CS6,0.000,56;47;46;51
24,0,vlink:US10->CS6,0.000,57;1;44;6
25,0,vlink:US10->CS6,0.000,62;49;3;50
26,0,vlink:US10->CS6,0.000,63;41;52;45
27,0,vlink:US10->CS2,0.000,60;2;0;42
28,0,vlink:US10->CS2,0.000,61;40;43;4
29,0,vlink:US10->CS6,0.000,64;7;5;55
30,0,vlink:US10->CS6,0.000,67;53;6;54
31,0,vlink:US10->CS6,0.000,65;41;1;46
32,0,vlink:US11->CS15,0.000,66;47;58;48
33,0,vlink:US11->CS3,0.000,68;44;51;3
34,0,vlink:US10->CS6,0.000,71;50;59;45
35,0,vlink:US10->CS6,0.000,69;49;40;0
36,0,vlink:US10->CS6,0.000,70;56;52;42
37,0,vlink:US10->CS6,0.000,74;57;2;43
38,0,vlink:US10->CS6,0.000,75;41;5;62
39,0,vlink:US1->CS9,0.000,72;4;6;63
40,0,vlink:US0->CS4,0.000,73;7;1;60
41,0,vlink:US10->CS2,0.000,78;55;46;53
42,0,vlink:US10->CS2,0.000,79;61;54;47
43,0,vlink:US10->CS2,0.000,76;64;3;44
44,0,vlink:US10->CS2,0.000,77;67;58;40
45,0,vlink:US10->CS6,0.000,10;48;45;51
46,0,vlink:US10->CS6,0.000,11;65;0;50
47,0,vlink:US10->CS6,0.000,8;66;41;49
48,0,vlink:US1->CS5,0.000,9;68;59;42
49,0,vlink:US1->CS5,0.000,80;52;43;5
50,0,vlink:US1->CS9,0.000,83;2;71;56
51,0,vlink:US1->CS9,0.000,81;69;6;57
52,0,vlink:US0->CS4,0.000,82;4;1;62
53,0,vlink:US10->CS2,0.000,84;70;7;63
54,0,vlink:US10->CS2,0.000,87;74;46;75
55,0,vlink:US10->CS2,0.000,85;53;60;47
