epoch,anomaly,top,top_stat,chosen
1,0,vlink:US0->CS0,0.000,4;2;1;3
2,0,vlink:US0->CS0,0.000,7;4;1;3
3,0,vlink:US0->CS0,0.000,5;7;0;1
4,0,vlink:US0->CS8,0.000,6;4;7;2
5,0,vlink:US0->CS12,0.000,42;7;1;3
6,0,vlink:US0->CS0,0.000,43;7;4;1
7,0,vlink:US0->CS0,0.000,40;1;7;43
8,0,vlink:US0->CS0,0.000,41;43;1;7
9,0,vlink:US0->CS0,0.000,46;41;40;42
10,0,vlink:US0->CS0,0.000,47;41;1;43
11,0,vlink:US0->CS0,0.000,44;47;46;41
12,0,vlink:US0->CS0,0.000,45;44;41;47
13,0,vlink:US0->CS0,0.000,48;45;47;44
14,0,vlink:US0->CS0,0.000,51;48;0;5
15,0,vlink:US0->CS8,0.000,49;2;6;3
16,0,vlink:US1->CS1,0.000,50;4;7;40
17,0,vlink:US0->CS4,0.000,52;43;1;42
18,0,vlink:US10->CS6,0.000,55;41;46;47
19,0,vlink:US11->CS3,0.000,53;45;44;48
20,0,vlink:US0->CS0,0.000,54;0;5;51
21,0,vlink:US1->CS13,0.000,58;40;3;2
22,0,vlink:US1->CS13,0.000,59;47;7;6
23,0,vlink:US10->CS14,0.000,56;43;41;1
24,0,vlink:US1->CS1,0.000,57;4;49;42
25,0,vlink:US12->CS8,0.000,62;46;50;44
26,0,vlink:US11->CS15,0.000,63;45;52;47
27,0,vlink:US10->CS6,0.000,60;48;40;0
28,0,vlink:US10->CS6,0.000,61;5;41;2
29,0,vlink:US0->CS4,0.000,64;55;3;7
30,0,vlink:US0->CS4,0.000,67;51;1;43
31,0,vlink:US11->CS15,0.000,65;53;47;6
32,0,vlink:US13->CS9,0.000,66;54;58;42
33,0,vlink:US10->CS6,0.000,68;4;59;44
34,0,vlink:US10->CS6,0.000,71;46;41;45
35,0,vlink:US11->CS15,0.000,69;56;49;40
36,0,vlink:US11->CS15,0.000,70;50;57;0
37,0,vlink:US11->CS15,0.000,74;52;62;2
38,0,vlink:US11->CS15,0.000,75;47;48;5
39,0,vlink:US0->CS4,0.000,72;7;1;63
40,0,vlink:US10->CS14,0.000,73;3;43;60
41,0,vlink:US10->CS6,0.000,78;55;61;41
42,0,vlink:US1->CS9,0.000,79;6;51;64
43,0,vlink:US11->CS15,0.000,76;42;67;44
44,0,vlink:US11->CS15,0.000,77;53;4;45
45,0,vlink:US11->CS15,0.000,10;65;46;54
46,0,vlink:US11->CS15,0.000,11;58;40;59
47,0,vlink:US11->CS15,0.000,8;66;0;68
48,0,vlink:US11->CS15,0.000,9;47;49;56
49,0,vlink:US10->CS6,0.000,80;71;2;50
50,0,vlink:US10->CS6,0.000,83;57;69;5
51,0,vlink:US10->CS6,0.000,81;1;7;52
52,0,vlink:US10->CS6,0.000,82;62;70;48
53,0,vlink:US10->CS6,0.000,84;41;43;74
54,0,vlink:US0->CS12,0.000,87;3;63;75
55,0,vlink:US11->CS3,0.000,85;72;60;55
