epoch,policy,chosen,verdict,correct
1,extern,US0->CS0;US0->CS4;US0->CS8;US0->CS12;US1->CS1;US1->CS5;US1->CS9;US1->CS13;US2->CS2;US2->CS6;US2->CS10;US2->CS14;US3->CS3;US3->CS7;US3->CS11;US3->CS15;US4->CS0;US4->CS4;US4->CS8;US4->CS12;US5->CS1;US5->CS5;US5->CS9;US5->CS13;US6->CS2;US6->CS6;US6->CS10;US6->CS14;US7->CS3;US7->CS7;US7->CS11;US7->CS15,-,0
2,extern,US6->CS6;US1->CS1;US7->CS3;US4->CS8;US3->CS15;US5->CS1;US5->CS9;US7->CS15;US1->CS9;US0->CS4;US3->CS7;US2->CS6;US2->CS10;US4->CS4;US6->CS14;US2->CS14;US3->CS3;US5->CS5;US2->CS2;US3->CS11;US6->CS2;US7->CS7;US1->CS13;US7->CS11;US0->CS0;US1->CS5;US5->CS13;US0->CS12;US4->CS12;US0->CS8;US6->CS10;US4->CS0,-,0
3,extern,US1->CS1;US4->CS8;US2->CS10;US3->CS3;US7->CS3;US7->CS7;US0->CS4;US3->CS11;US3->CS15;US4->CS12;US5->CS1;US5->CS13;US4->CS4;US1->CS5;US0->CS12;US1->CS13;US6->CS2;US0->CS0;US5->CS9;US7->CS15;US6->CS14;US5->CS5;US7->CS11;US2->CS2;US2->CS14;US6->CS6;US0->CS8;US1->CS9;US2->CS6;US3->CS7;US4->CS0;US6->CS10,-,0
4,extern,US1->CS1;US5->CS13;US2->CS10;US7->CS15;US3->CS7;US3->CS11;US7->CS11;US6->CS10;US3->CS3;US4->CS4;US0->CS4;US4->CS12;US5->CS1;US5->CS5;US2->CS2;US2->CS6;US2->CS14;US0->CS12;US6->CS6;US0->CS0;US4->CS0;US3->CS15;US1->CS13;US4->CS8;US7->CS3;US1->CS9;US6->CS2;US6->CS14;US0->CS8;US5->CS9;US7->CS7;US1->CS5,-,0
5,extern,US0->CS12;US5->CS5;US2->CS2;US5->CS9;US7->CS15;US0->CS8;US2->CS10;US2->CS14;US3->CS15;US5->CS13;US5->CS1;US6->CS2;US3->CS7;US7->CS3;US4->CS12;US1->CS5;US1->CS1;US2->CS6;US3->CS3;US0->CS4;US6->CS14;US7->CS11;US1->CS9;US3->CS11;US4->CS0;US4->CS4;US7->CS7;US6->CS6;US0->CS0;US4->CS8;US1->CS13;US6->CS10,-,0
6,extern,US2->CS14;US4->CS8;US0->CS12;US4->CS0;US6->CS6;US3->CS7;US7->CS11;US2->CS10;US3->CS3;US0->CS0;US1->CS1;US3->CS11;US6->CS2;US5->CS13;US5->CS5;US7->CS15;US1->CS5;US3->CS15;US4->CS12;US5->CS1;US6->CS14;US2->CS2;US4->CS4;US2->CS6;US0->CS8;US1->CS9;US1->CS13;US6->CS10;US7->CS3;US0->CS4;US7->CS7;US5->CS9,-,0
7,extern,US4->CS4;US5->CS13;US0->CS8;US6->CS10;US1->CS9;US2->CS2;US2->CS6;US3->CS3;US7->CS3;US1->CS5;US3->CS11;US6->CS6;US0->CS12;US1->CS13;US4->CS8;US7->CS15;US2->CS10;US3->CS7;US4->CS0;US0->CS0;US5->CS9;US3->CS15;US5->CS1;US7->CS7;US0->CS4;US6->CS14;US5->CS5;US6->CS2;US2->CS14;US7->CS11;US4->CS12;US1->CS1,-,0
8,extern,US2->CS14;US4->CS0;US3->CS3;US3->CS11;US7->CS3;US7->CS15;US0->CS12;US3->CS7;US1->CS5;US0->CS0;US1->CS1;US4->CS12;US5->CS9;US2->CS2;US6->CS10;US7->CS11;US2->CS6;US5->CS1;US7->CS7;US1->CS9;US6->CS2;US4->CS8;US0->CS8;US5->CS5;US6->CS6;US2->CS10;US6->CS14;US1->CS13;US4->CS4;US0->CS4;US5->CS13;US3->CS15,-,0
9,extern,US0->CS12;US6->CS14;US4->CS8;US4->CS0;US0->CS0;US3->CS7;US6->CS6;US2->CS2;US7->CS3;US3->CS11;US3->CS15;US6->CS2;US1->CS13;US7->CS15;US1->CS1;US1->CS5;US2->CS14;US3->CS3;US4->CS12;US0->CS4;US1->CS9;US5->CS9;US5->CS13;US2->CS6;US7->CS7;US5->CS1;US7->CS11;US2->CS10;US5->CS5;US4->CS4;US6->CS10;US0->CS8,-,0
10,extern,US0->CS0;US2->CS6;US4->CS0;US1->CS9;US6->CS2;US7->CS15;US1->CS13;US6->CS14;US3->CS15;US0->CS8;US1->CS1;US5->CS13;US2->CS10;US3->CS3;US4->CS12;US5->CS9;US3->CS11;US7->CS11;US2->CS14;US4->CS8;US5->CS1;US5->CS5;US6->CS10;US7->CS7;US2->CS2;US0->CS12;US4->CS4;US0->CS4;US1->CS5;US3->CS7;US6->CS6;US7->CS3,-,0
