epoch,policy,chosen,verdict,correct
1,random,US79->CS39;US33->CS41;US52->CS36;US62->CS6;US78->CS14;US24->CS16;US99->CS3;US72->CS8;US94->CS62;US104->CS16;US106->CS50;US114->CS2;US113->CS17;US111->CS39;US39->CS39;US4->CS60;US92->CS52;US19->CS51;US10->CS26;US8->CS40;US68->CS36;US119->CS63;US44->CS12;US31->CS55;US43->CS27;US126->CS62;US18->CS26;US17->CS17;US35->CS27;US11->CS35;US83->CS59;US23->CS55;US127->CS23;US99->CS59;US16->CS8;US54->CS46;US54->CS38;US26->CS58;US92->CS44;US101->CS21;US85->CS37,-,0
2,random,US124->CS4;US125->CS21;US93->CS53;US43->CS19;US44->CS52;US56->CS56;US40->CS56;US68->CS44;US114->CS18;US19->CS35;US28->CS28;US87->CS47;US15->CS15;US109->CS5;US10->CS42;US65->CS57;US14->CS14;US35->CS35;US95->CS7;US88->CS24;US70->CS6;US56->CS48;US2->CS34;US124->CS44;US3->CS43;US50->CS26;US21->CS61;US117->CS29;US19->CS27;US34->CS2;US8->CS16;US48->CS0;US47->CS15;US64->CS56;US107->CS3;US117->CS37;US49->CS25;US77->CS21;US92->CS4;US85->CS37;US73->CS25,-,0
3,random,US5->CS13;US61->CS29;US26->CS18;US47->CS23;US22->CS46;US118->CS46;US50->CS42;US5->CS53;US14->CS46;US15->CS15;US124->CS60;US94->CS62;US32->CS0;US73->CS49;US0->CS40;US114->CS10;US53->CS5;US88->CS16;US43->CS19;US55->CS7;US17->CS41;US20->CS44;US122->CS34;US85->CS5;US77->CS13;US104->CS8;US33->CS57;US41->CS9;US55->CS55;US86->CS6;US84->CS4;US49->CS17;US96->CS40;US16->CS56;US99->CS27;US51->CS11;US94->CS38;US13->CS21;US29->CS37;US104->CS24;US48->CS40,-,0
4,random,US65->CS9;US36->CS44;US38->CS46;US119->CS63;US73->CS33;US7->CS15;US15->CS63;US113->CS49;US14->CS30;US31->CS31;US100->CS36;US24->CS24;US121->CS49;US55->CS31;US1->CS9;US57->CS25;US4->CS52;US99->CS27;US17->CS49;US85->CS29;US106->CS50;US104->CS8;US45->CS37;US82->CS18;US97->CS9;US75->CS35;US73->CS1;US94->CS14;US4->CS20;US64->CS16;US124->CS12;US59->CS3;US34->CS34;US98->CS18;US111->CS15;US95->CS39;US22->CS6;US118->CS22;US45->CS21;US99->CS19;US55->CS7,-,0
5,random,US114->CS58;US42->CS26;US77->CS13;US65->CS57;US28->CS20;US32->CS40;US42->CS18;US121->CS41;US43->CS59;US6->CS6;US107->CS35;US22->CS30;US5->CS61;US121->CS9;US2->CS10;US61->CS53;US103->CS55;US60->CS28;US121->CS17;US50->CS10;US79->CS31;US82->CS58;US21->CS29;US53->CS37;US47->CS39;US127->CS15;US121->CS33;US107->CS43;US64->CS24;US93->CS21;US69->CS37;US93->CS45;US73->CS49;US87->CS47;US58->CS18;US6->CS14;US10->CS26;US0->CS8;US95->CS55;US74->CS58;US21->CS5,-,0
6,random,US113->CS9;US31->CS31;US31->CS39;US41->CS1;US91->CS27;US16->CS24;US16->CS48;US106->CS34;US84->CS36;US73->CS1;US112->CS56;US50->CS2;US20->CS20;US84->CS12;US3->CS27;US53->CS37;US75->CS43;US64->CS48;US63->CS15;US85->CS37;US75->CS19;US76->CS12;US107->CS35;US109->CS53;US78->CS14;US72->CS56;US118->CS22;US7->CS55;US4->CS60;US39->CS31;US43->CS19;US19->CS35;US83->CS3;US44->CS28;US15->CS63;US59->CS27;US33->CS49;US42->CS42;US120->CS8;US120->CS56;US78->CS30,-,0
7,random,US96->CS40;US16->CS40;US73->CS17;US41->CS1;US87->CS7;US113->CS17;US8->CS16;US2->CS10;US61->CS53;US18->CS42;US69->CS21;US62->CS54;US73->CS49;US115->CS11;US59->CS3;US90->CS18;US66->CS58;US105->CS1;US67->CS59;US99->CS27;US41->CS49;US109->CS61;US99->CS11;US3->CS35;US34->CS18;US51->CS59;US54->CS30;US67->CS11;US127->CS15;US14->CS6;US27->CS11;US72->CS32;US121->CS25;US112->CS24;US121->CS17;US4->CS28;US28->CS4;US98->CS10;US13->CS29;US93->CS37;US58->CS2,-,0
8,random,US83->CS43;US28->CS44;US20->CS20;US3->CS51;US77->CS53;US7->CS7;US28->CS28;US126->CS30;US102->CS62;US48->CS32;US114->CS34;US74->CS18;US75->CS51;US18->CS58;US9->CS33;US24->CS56;US44->CS36;US98->CS10;US79->CS39;US52->CS44;US79->CS23;US109->CS45;US57->CS25;US58->CS58;US79->CS55;US11->CS11;US101->CS45;US17->CS25;US10->CS34;US50->CS50;US6->CS46;US58->CS26;US2->CS58;US72->CS24;US116->CS52;US37->CS53;US66->CS26;US107->CS35;US58->CS42;US117->CS29;US116->CS4,-,0
9,random,US47->CS55;US77->CS45;US61->CS61;US79->CS63;US93->CS53;US2->CS2;US50->CS34;US45->CS45;US70->CS22;US96->CS48;US99->CS43;US119->CS15;US45->CS5;US6->CS6;US44->CS12;US16->CS8;US40->CS56;US100->CS12;US10->CS10;US104->CS48;US47->CS23;US119->CS39;US4->CS52;US109->CS37;US21->CS61;US22->CS38;US80->CS0;US14->CS38;US90->CS42;US13->CS21;US14->CS62;US117->CS61;US99->CS27;US1->CS41;US17->CS41;US41->CS17;US5->CS29;US59->CS3;US81->CS1;US114->CS18;US73->CS17,-,0
10,random,US123->CS19;US24->CS16;US64->CS0;US127->CS47;US88->CS40;US5->CS29;US76->CS12;US8->CS48;US56->CS40;US96->CS32;US55->CS23;US81->CS41;US7->CS39;US84->CS20;US25->CS9;US70->CS46;US60->CS4;US5->CS61;US112->CS32;US14->CS62;US35->CS35;US114->CS2;US120->CS8;US89->CS41;US55->CS55;US58->CS10;US40->CS40;US126->CS46;US32->CS8;US106->CS50;US119->CS39;US47->CS15;US6->CS30;US118->CS14;US110->CS14;US95->CS31;US102->CS14;US80->CS48;US114->CS26;US74->CS34;US56->CS0,-,0
