epoch,policy,chosen,verdict,correct
1,random,US30->CS6;US121->CS41;US113->CS41;US102->CS38;US2->CS50;US127->CS23;US54->CS54;US74->CS34;US71->CS47;US10->CS18;US60->CS20;US103->CS23;US50->CS26;US80->CS32;US22->CS22;US118->CS54;US112->CS8;US90->CS18;US23->CS31;US106->CS58;US53->CS13;US122->CS50;US102->CS6;US26->CS34;US73->CS57;US117->CS29;US112->CS48;US30->CS14;US29->CS37;US96->CS24;US75->CS51;US115->CS19;US12->CS20;US36->CS4;US4->CS44;US11->CS3;US111->CS7;US58->CS58;US67->CS11;US56->CS16;US114->CS34,-,0
2,random,US125->CS21;US79->CS7;US75->CS59;US106->CS58;US12->CS4;US49->CS33;US120->CS0;US40->CS16;US41->CS41;US56->CS8;US96->CS0;US53->CS53;US9->CS17;US103->CS15;US21->CS5;US44->CS60;US121->CS1;US51->CS19;US77->CS61;US60->CS60;US6->CS6;US119->CS15;US10->CS58;US113->CS25;US58->CS58;US84->CS44;US8->CS8;US23->CS15;US41->CS49;US87->CS7;US80->CS32;US6->CS22;US112->CS48;US109->CS37;US67->CS35;US82->CS2;US19->CS11;US80->CS40;US12->CS28;US78->CS62;US45->CS13,-,0
3,random,US21->CS45;US52->CS44;US104->CS16;US11->CS43;US89->CS33;US69->CS37;US121->CS57;US2->CS34;US90->CS2;US76->CS20;US40->CS0;US123->CS51;US14->CS62;US57->CS25;US18->CS42;US0->CS16;US43->CS27;US54->CS22;US24->CS56;US28->CS60;US59->CS3;US77->CS5;US105->CS17;US121->CS41;US104->CS48;US61->CS61;US95->CS63;US20->CS12;US13->CS29;US127->CS55;US59->CS19;US35->CS51;US39->CS39;US100->CS12;US98->CS26;US68->CS60;US36->CS20;US102->CS14;US14->CS54;US7->CS23;US48->CS0,-,0
4,random,US98->CS18;US50->CS58;US104->CS40;US77->CS29;US58->CS58;US94->CS6;US32->CS56;US43->CS43;US101->CS45;US4->CS4;US113->CS17;US9->CS57;US72->CS16;US75->CS27;US94->CS14;US98->CS10;US48->CS48;US47->CS23;US58->CS18;US126->CS62;US100->CS36;US82->CS34;US66->CS42;US71->CS55;US34->CS26;US17->CS1;US75->CS11;US106->CS58;US104->CS8;US105->CS9;US76->CS20;US50->CS26;US81->CS41;US75->CS19;US8->CS32;US55->CS23;US55->CS39;US17->CS57;US95->CS55;US53->CS45;US62->CS46,-,0
5,random,US76->CS28;US59->CS51;US117->CS37;US25->CS25;US43->CS27;US59->CS43;US27->CS35;US88->CS16;US19->CS51;US90->CS26;US61->CS45;US28->CS20;US89->CS49;US51->CS27;US7->CS31;US61->CS13;US113->CS17;US125->CS37;US46->CS14;US91->CS51;US98->CS26;US37->CS53;US14->CS38;US30->CS54;US81->CS17;US94->CS22;US37->CS29;US31->CS55;US2->CS42;US5->CS29;US54->CS22;US76->CS12;US16->CS8;US92->CS12;US22->CS62;US80->CS56;US104->CS40;US47->CS7;US104->CS0;US29->CS37;US118->CS30,-,0
6,random,US94->CS6;US54->CS46;US25->CS25;US5->CS45;US37->CS13;US95->CS55;US91->CS59;US123->CS11;US43->CS43;US56->CS56;US25->CS1;US78->CS14;US84->CS20;US4->CS44;US13->CS45;US87->CS39;US29->CS61;US104->CS8;US106->CS2;US110->CS38;US118->CS38;US66->CS10;US47->CS39;US26->CS18;US32->CS16;US30->CS62;US5->CS21;US91->CS51;US17->CS9;US18->CS34;US6->CS54;US24->CS56;US69->CS61;US96->CS8;US9->CS49;US68->CS28;US80->CS16;US103->CS39;US8->CS40;US52->CS12;US30->CS54,-,0
7,random,US78->CS22;US49->CS1;US88->CS48;US47->CS23;US126->CS62;US80->CS0;US72->CS56;US33->CS9;US104->CS16;US55->CS55;US112->CS32;US56->CS48;US77->CS21;US99->CS3;US39->CS39;US81->CS9;US102->CS54;US66->CS58;US117->CS61;US39->CS55;US31->CS47;US81->CS25;US104->CS32;US44->CS20;US91->CS27;US77->CS5;US84->CS4;US57->CS41;US16->CS48;US49->CS9;US119->CS63;US19->CS51;US126->CS54;US14->CS22;US61->CS61;US6->CS46;US58->CS26;US4->CS36;US86->CS46;US22->CS14;US44->CS28,-,0
8,random,US5->CS45;US65->CS1;US65->CS57;US95->CS47;US76->CS60;US117->CS53;US40->CS48;US84->CS52;US103->CS63;US69->CS13;US107->CS59;US103->CS55;US117->CS5;US3->CS35;US82->CS58;US116->CS52;US110->CS22;US22->CS38;US117->CS37;US82->CS2;US63->CS15;US120->CS0;US73->CS57;US85->CS13;US35->CS11;US119->CS63;US72->CS8;US99->CS27;US34->CS34;US23->CS47;US26->CS26;US98->CS2;US113->CS17;US53->CS21;US112->CS32;US18->CS42;US27->CS59;US67->CS27;US31->CS39;US57->CS49;US10->CS2,-,0
9,random,US30->CS54;US87->CS39;US28->CS20;US12->CS4;US52->CS28;US62->CS62;US87->CS15;US48->CS16;US91->CS51;US97->CS33;US21->CS45;US103->CS55;US41->CS25;US85->CS53;US5->CS53;US46->CS54;US2->CS58;US35->CS11;US16->CS32;US17->CS57;US88->CS16;US41->CS17;US31->CS15;US9->CS17;US122->CS34;US105->CS9;US117->CS5;US67->CS59;US9->CS1;US22->CS38;US52->CS44;US96->CS0;US50->CS18;US83->CS19;US9->CS41;US36->CS4;US42->CS58;US83->CS43;US57->CS1;US54->CS14;US60->CS60,-,0
10,random,US32->CS56;US23->CS63;US107->CS11;US98->CS42;US110->CS6;US40->CS0;US105->CS1;US65->CS25;US16->CS48;US4->CS52;US38->CS54;US66->CS26;US76->CS52;US108->CS36;US3->CS59;US18->CS58;US99->CS11;US103->CS15;US23->CS47;US99->CS27;US43->CS3;US70->CS6;US111->CS63;US71->CS15;US120->CS0;US29->CS53;US84->CS36;US22->CS30;US72->CS24;US111->CS55;US25->CS9;US90->CS50;US55->CS55;US112->CS48;US44->CS60;US27->CS59;US48->CS56;US17->CS17;US30->CS6;US107->CS43;US15->CS39,-,0
11,random,US81->CS41;US57->CS25;US45->CS53;US53->CS13;US32->CS40;US100->CS4;US35->CS3;US101->CS5;US126->CS30;US98->CS10;US27->CS43;US46->CS38;US53->CS61;US22->CS54;US113->CS17;US82->CS50;US67->CS11;US22->CS6;US8->CS0;US3->CS19;US12->CS36;US98->CS2;US44->CS52;US1->CS9;US96->CS8;US70->CS14;US0->CS16;US35->CS59;US20->CS36;US111->CS63;US121->CS41;US92->CS20;US106->CS42;US41->CS41;US73->CS57;US104->CS32;US61->CS13;US39->CS31;US51->CS19;US120->CS48;US66->CS58,-,0
