epoch,policy,chosen,verdict,correct
1,random,US18->CS18;US114->CS2;US78->CS6;US48->CS8;US62->CS46;US26->CS58;US116->CS4;US14->CS6;US85->CS61;US115->CS35;US95->CS31;US127->CS55;US48->CS56;US95->CS39;US15->CS7;US94->CS62;US9->CS9;US65->CS1;US37->CS37;US69->CS61;US30->CS22;US122->CS2;US41->CS25;US72->CS56;US4->CS28;US63->CS47;US62->CS6;US4->CS4;US69->CS21;US68->CS36;US111->CS23;US65->CS17;US107->CS27;US49->CS49;US121->CS33;US89->CS25;US11->CS11;US57->CS9;US123->CS35;US8->CS40;US14->CS22,-,0
2,random,US49->CS1;US10->CS34;US112->CS32;US12->CS20;US100->CS12;US37->CS13;US0->CS56;US4->CS44;US70->CS14;US80->CS40;US63->CS39;US126->CS38;US47->CS63;US5->CS5;US50->CS58;US24->CS0;US127->CS55;US42->CS18;US92->CS60;US124->CS36;US93->CS5;US3->CS3;US13->CS13;US106->CS10;US99->CS43;US120->CS16;US47->CS55;US62->CS38;US49->CS41;US92->CS36;US13->CS5;US35->CS11;US116->CS4;US110->CS22;US17->CS25;US94->CS62;US88->CS56;US98->CS42;US55->CS63;US65->CS57;US16->CS56,-,0
3,random,US44->CS12;US67->CS3;US13->CS37;US120->CS16;US115->CS43;US26->CS42;US45->CS5;US10->CS10;US76->CS44;US22->CS30;US68->CS60;US118->CS54;US82->CS18;US109->CS45;US100->CS52;US23->CS15;US77->CS61;US82->CS10;US68->CS20;US111->CS47;US99->CS59;US110->CS46;US89->CS25;US30->CS54;US54->CS14;US69->CS13;US70->CS46;US110->CS14;US42->CS58;US1->CS17;US25->CS33;US90->CS50;US67->CS27;US93->CS13;US75->CS27;US47->CS31;US51->CS19;US93->CS61;US69->CS53;US86->CS54;US120->CS24,-,0
4,random,US106->CS58;US19->CS35;US18->CS58;US10->CS2;US94->CS30;US70->CS46;US60->CS36;US63->CS7;US9->CS17;US120->CS56;US90->CS26;US33->CS17;US127->CS7;US30->CS14;US19->CS3;US61->CS29;US60->CS4;US51->CS27;US109->CS21;US66->CS58;US38->CS22;US72->CS24;US88->CS56;US38->CS62;US53->CS61;US29->CS29;US80->CS0;US82->CS26;US6->CS38;US15->CS39;US82->CS10;US65->CS41;US105->CS57;US44->CS4;US4->CS60;US7->CS31;US61->CS37;US123->CS3;US33->CS33;US65->CS9;US18->CS10,-,0
5,random,US83->CS27;US66->CS2;US27->CS11;US58->CS34;US78->CS54;US11->CS43;US78->CS30;US118->CS46;US11->CS19;US62->CS54;US60->CS12;US85->CS61;US109->CS61;US88->CS32;US116->CS28;US104->CS56;US68->CS60;US107->CS51;US68->CS36;US87->CS15;US78->CS22;US67->CS27;US17->CS33;US80->CS56;US68->CS20;US10->CS18;US50->CS50;US76->CS28;US19->CS11;US79->CS39;US99->CS3;US65->CS1;US88->CS8;US123->CS59;US2->CS50;US3->CS11;US119->CS55;US79->CS23;US84->CS36;US25->CS1;US82->CS58,-,0
6,random,US67->CS43;US54->CS14;US90->CS10;US29->CS29;US117->CS45;US20->CS20;US58->CS10;US17->CS17;US8->CS8;US11->CS3;US96->CS0;US91->CS51;US37->CS45;US14->CS38;US34->CS50;US32->CS40;US114->CS42;US118->CS54;US77->CS53;US125->CS5;US118->CS62;US24->CS48;US116->CS12;US81->CS49;US22->CS62;US83->CS35;US14->CS22;US17->CS49;US55->CS39;US111->CS55;US61->CS37;US119->CS7;US85->CS5;US33->CS33;US41->CS1;US6->CS46;US109->CS13;US125->CS29;US83->CS43;US71->CS63;US122->CS50,-,0
7,random,US100->CS12;US70->CS22;US106->CS18;US62->CS38;US63->CS23;US91->CS19;US70->CS38;US73->CS1;US36->CS28;US28->CS36;US106->CS10;US31->CS47;US53->CS45;US23->CS55;US82->CS34;US48->CS40;US119->CS63;US22->CS46;US12->CS28;US127->CS55;US120->CS8;US75->CS27;US37->CS5;US92->CS4;US28->CS52;US43->CS59;US17->CS9;US113->CS57;US112->CS8;US58->CS50;US43->CS19;US35->CS35;US16->CS24;US7->CS15;US99->CS43;US100->CS20;US94->CS62;US16->CS56;US61->CS45;US1->CS57;US16->CS0,-,0
8,random,US0->CS56;US68->CS4;US54->CS46;US6->CS30;US8->CS8;US64->CS56;US38->CS22;US24->CS40;US83->CS27;US109->CS21;US95->CS55;US29->CS53;US12->CS36;US125->CS45;US92->CS60;US5->CS45;US113->CS1;US108->CS28;US26->CS26;US103->CS55;US40->CS40;US68->CS36;US25->CS17;US63->CS55;US100->CS52;US51->CS27;US8->CS24;US115->CS27;US54->CS54;US15->CS55;US44->CS20;US93->CS53;US58->CS58;US111->CS55;US49->CS57;US17->CS49;US71->CS39;US105->CS57;US114->CS42;US41->CS33;US102->CS22,-,0
9,random,US59->CS19;US54->CS14;US119->CS47;US35->CS35;US116->CS44;US17->CS1;US36->CS28;US105->CS17;US7->CS55;US123->CS51;US5->CS5;US99->CS51;US72->CS48;US6->CS14;US26->CS34;US28->CS52;US20->CS36;US56->CS56;US52->CS36;US115->CS43;US89->CS49;US58->CS2;US49->CS41;US106->CS18;US86->CS54;US84->CS12;US73->CS25;US43->CS51;US20->CS4;US90->CS10;US89->CS9;US121->CS49;US94->CS62;US59->CS3;US64->CS16;US74->CS58;US122->CS10;US74->CS26;US79->CS31;US88->CS56;US93->CS45,-,0
10,random,US11->CS19;US52->CS60;US112->CS40;US40->CS16;US66->CS10;US88->CS8;US82->CS10;US111->CS47;US76->CS44;US53->CS13;US106->CS2;US65->CS1;US49->CS57;US126->CS22;US54->CS38;US99->CS11;US22->CS54;US117->CS21;US86->CS22;US0->CS32;US105->CS25;US95->CS7;US112->CS8;US90->CS42;US1->CS49;US118->CS22;US57->CS17;US72->CS48;US70->CS46;US106->CS10;US42->CS58;US60->CS20;US114->CS34;US107->CS35;US31->CS31;US60->CS4;US100->CS60;US48->CS0;US59->CS11;US61->CS21;US82->CS18,-,0
