epoch,policy,chosen,verdict,correct
1,random,US9->CS1;US110->CS30;US64->CS56;US9->CS33;US30->CS30;US125->CS13;US88->CS48;US72->CS56;US7->CS47;US35->CS3;US113->CS49;US118->CS54;US89->CS57;US56->CS40;US82->CS26;US84->CS60;US55->CS63;US77->CS61;US61->CS29;US17->CS1;US31->CS63;US77->CS21;US115->CS43;US111->CS47;US15->CS7;US6->CS30;US39->CS55;US70->CS14;US81->CS57;US83->CS43;US57->CS25;US63->CS7;US24->CS56;US92->CS60;US75->CS59;US63->CS55;US85->CS45;US11->CS43;US79->CS23;US60->CS4;US60->CS28,-,0
2,random,US46->CS6;US62->CS62;US64->CS16;US57->CS9;US54->CS62;US20->CS44;US122->CS50;US103->CS39;US18->CS26;US44->CS60;US11->CS35;US20->CS4;US32->CS56;US8->CS16;US101->CS53;US15->CS47;US75->CS43;US14->CS46;US114->CS18;US114->CS50;US66->CS58;US50->CS10;US47->CS63;US28->CS44;US127->CS39;US36->CS44;US4->CS44;US1->CS49;US69->CS13;US78->CS14;US64->CS0;US48->CS0;US93->CS13;US25->CS25;US96->CS0;US39->CS63;US48->CS56;US93->CS53;US119->CS39;US81->CS9;US28->CS4,-,0
3,random,US28->CS20;US125->CS13;US36->CS60;US92->CS12;US2->CS58;US20->CS36;US80->CS40;US55->CS15;US96->CS16;US9->CS57;US105->CS1;US117->CS53;US15->CS63;US21->CS5;US97->CS1;US13->CS37;US46->CS38;US121->CS1;US76->CS4;US6->CS38;US27->CS43;US102->CS62;US93->CS29;US64->CS48;US2->CS10;US115->CS59;US97->CS49;US60->CS52;US81->CS33;US73->CS41;US8->CS40;US123->CS43;US20->CS4;US54->CS14;US32->CS56;US35->CS3;US57->CS49;US18->CS2;US77->CS5;US83->CS51;US3->CS59,-,0
4,random,US98->CS18;US51->CS27;US111->CS15;US25->CS41;US116->CS52;US80->CS0;US72->CS24;US44->CS4;US119->CS23;US41->CS33;US89->CS9;US103->CS15;US85->CS5;US84->CS20;US82->CS42;US54->CS30;US89->CS17;US1->CS33;US37->CS13;US53->CS45;US31->CS31;US43->CS27;US38->CS46;US52->CS20;US69->CS45;US16->CS40;US69->CS5;US26->CS10;US67->CS59;US126->CS62;US18->CS50;US24->CS16;US113->CS9;US41->CS57;US105->CS25;US89->CS25;US15->CS39;US68->CS4;US83->CS51;US52->CS60;US98->CS10,-,0
5,random,US124->CS28;US41->CS25;US19->CS51;US99->CS11;US18->CS26;US23->CS31;US127->CS23;US53->CS21;US17->CS57;US52->CS4;US91->CS51;US86->CS62;US98->CS26;US40->CS24;US69->CS53;US17->CS41;US46->CS62;US61->CS13;US72->CS0;US32->CS8;US22->CS6;US13->CS45;US47->CS55;US108->CS60;US110->CS54;US106->CS10;US29->CS45;US113->CS25;US9->CS49;US85->CS21;US8->CS32;US96->CS8;US5->CS45;US35->CS11;US73->CS25;US101->CS61;US1->CS17;US99->CS3;US79->CS47;US120->CS0;US34->CS50,-,0
6,random,US28->CS12;US3->CS27;US35->CS11;US40->CS32;US75->CS19;US88->CS24;US42->CS26;US43->CS27;US80->CS0;US10->CS10;US74->CS2;US17->CS41;US15->CS39;US80->CS48;US111->CS23;US19->CS27;US121->CS25;US105->CS41;US54->CS22;US124->CS28;US20->CS4;US55->CS23;US103->CS63;US73->CS17;US44->CS12;US50->CS2;US84->CS28;US53->CS61;US64->CS8;US19->CS59;US107->CS51;US117->CS21;US16->CS56;US29->CS29;US37->CS53;US103->CS55;US20->CS28;US108->CS4;US34->CS50;US9->CS49;US58->CS26,-,0
7,random,US16->CS16;US80->CS8;US56->CS32;US109->CS5;US73->CS17;US70->CS62;US109->CS21;US114->CS42;US8->CS0;US54->CS54;US102->CS38;US0->CS8;US18->CS18;US124->CS60;US95->CS23;US115->CS27;US57->CS57;US39->CS63;US7->CS63;US75->CS19;US90->CS18;US126->CS54;US43->CS11;US121->CS33;US8->CS16;US45->CS5;US77->CS53;US89->CS9;US108->CS44;US21->CS45;US113->CS57;US28->CS4;US36->CS28;US122->CS26;US15->CS47;US113->CS1;US116->CS28;US106->CS58;US17->CS33;US32->CS56;US108->CS12,-,0
8,random,US74->CS42;US51->CS27;US106->CS42;US73->CS49;US121->CS49;US55->CS63;US86->CS62;US124->CS20;US46->CS30;US10->CS26;US15->CS31;US119->CS31;US18->CS34;US64->CS32;US123->CS43;US37->CS37;US6->CS14;US96->CS8;US70->CS22;US85->CS21;US12->CS4;US116->CS44;US123->CS59;US8->CS16;US10->CS34;US106->CS26;US60->CS4;US111->CS23;US70->CS54;US80->CS32;US45->CS5;US71->CS47;US9->CS17;US107->CS59;US47->CS15;US46->CS46;US61->CS5;US123->CS27;US117->CS13;US81->CS49;US2->CS34,-,0
9,random,US99->CS35;US120->CS16;US118->CS6;US76->CS52;US37->CS61;US24->CS16;US8->CS0;US6->CS46;US78->CS14;US43->CS3;US84->CS12;US31->CS23;US47->CS7;US125->CS5;US98->CS50;US112->CS32;US73->CS9;US103->CS15;US95->CS47;US50->CS34;US23->CS7;US43->CS19;US13->CS5;US71->CS39;US97->CS49;US116->CS52;US26->CS26;US34->CS58;US87->CS55;US58->CS26;US90->CS50;US67->CS43;US103->CS47;US114->CS2;US22->CS54;US112->CS8;US108->CS4;US15->CS47;US68->CS4;US24->CS48;US57->CS33,-,0
10,random,US55->CS15;US90->CS58;US36->CS44;US21->CS29;US93->CS37;US31->CS63;US110->CS38;US3->CS59;US75->CS51;US42->CS18;US43->CS11;US4->CS28;US26->CS34;US46->CS6;US77->CS13;US89->CS9;US61->CS21;US86->CS22;US108->CS44;US89->CS41;US0->CS32;US80->CS56;US63->CS39;US3->CS19;US127->CS47;US76->CS52;US80->CS40;US37->CS5;US68->CS20;US111->CS31;US94->CS46;US23->CS63;US6->CS14;US83->CS35;US100->CS36;US108->CS36;US22->CS14;US107->CS3;US89->CS1;US111->CS23;US4->CS36,-,0
11,random,US94->CS62;US42->CS58;US51->CS11;US25->CS33;US19->CS43;US25->CS9;US98->CS2;US36->CS60;US104->CS40;US48->CS24;US118->CS54;US112->CS48;US49->CS41;US17->CS41;US31->CS15;US85->CS37;US37->CS13;US95->CS39;US98->CS18;US72->CS24;US100->CS60;US9->CS1;US53->CS53;US118->CS22;US50->CS50;US64->CS8;US74->CS26;US33->CS25;US83->CS3;US105->CS17;US103->CS55;US35->CS11;US77->CS45;US87->CS55;US2->CS58;US3->CS19;US0->CS8;US4->CS20;US127->CS55;US7->CS63;US51->CS19,-,0
