epoch,policy,chosen,verdict,correct
1,random,US90->CS26;US5->CS37;US120->CS8;US18->CS10;US52->CS52;US61->CS13;US49->CS57;US93->CS53;US83->CS27;US34->CS18;US123->CS59;US8->CS0;US3->CS11;US105->CS17;US99->CS59;US44->CS28;US69->CS29;US44->CS20;US35->CS35;US102->CS62;US75->CS35;US84->CS28;US21->CS5;US15->CS47;US48->CS24;US91->CS11;US110->CS30;US120->CS24;US5->CS53;US34->CS42;US48->CS8;US107->CS43;US99->CS51;US25->CS57;US76->CS60;US104->CS16;US57->CS9;US113->CS17;US80->CS56;US28->CS12;US91->CS51,-,0
2,random,US85->CS37;US124->CS36;US79->CS39;US41->CS49;US53->CS37;US17->CS33;US90->CS42;US87->CS31;US42->CS2;US70->CS46;US27->CS51;US79->CS15;US108->CS28;US114->CS26;US46->CS54;US49->CS17;US56->CS48;US97->CS9;US3->CS43;US41->CS9;US15->CS55;US32->CS16;US19->CS51;US14->CS38;US4->CS4;US23->CS63;US5->CS21;US23->CS23;US9->CS49;US81->CS17;US102->CS46;US66->CS26;US38->CS62;US110->CS22;US123->CS43;US10->CS34;US94->CS14;US14->CS46;US79->CS63;US59->CS11;US122->CS26,-,0
3,random,US100->CS28;US105->CS49;US20->CS44;US126->CS6;US59->CS51;US117->CS13;US101->CS21;US108->CS28;US37->CS5;US73->CS33;US73->CS1;US17->CS57;US37->CS21;US116->CS44;US66->CS50;US76->CS44;US11->CS27;US32->CS16;US45->CS53;US58->CS42;US101->CS13;US101->CS37;US6->CS30;US30->CS46;US83->CS3;US56->CS8;US111->CS47;US101->CS53;US35->CS43;US28->CS44;US89->CS49;US38->CS46;US100->CS44;US17->CS41;US72->CS8;US25->CS41;US26->CS42;US50->CS2;US38->CS6;US36->CS60;US12->CS52,-,0
4,random,US115->CS35;US110->CS54;US50->CS42;US101->CS37;US98->CS10;US111->CS39;US85->CS53;US39->CS23;US54->CS62;US116->CS44;US87->CS55;US107->CS19;US48->CS16;US122->CS10;US123->CS35;US47->CS23;US19->CS59;US79->CS47;US35->CS3;US66->CS34;US120->CS24;US123->CS19;US18->CS26;US82->CS2;US49->CS25;US108->CS52;US4->CS20;US50->CS18;US127->CS23;US113->CS17;US64->CS16;US67->CS19;US40->CS16;US127->CS7;US97->CS57;US114->CS2;US96->CS8;US87->CS23;US54->CS46;US100->CS12;US13->CS53,-,0
5,random,US84->CS60;US2->CS10;US109->CS61;US61->CS13;US121->CS33;US41->CS57;US39->CS55;US37->CS13;US45->CS53;US55->CS63;US36->CS36;US115->CS35;US50->CS42;US112->CS0;US103->CS55;US117->CS61;US105->CS33;US111->CS23;US113->CS49;US39->CS7;US71->CS15;US68->CS60;US46->CS54;US41->CS17;US80->CS40;US64->CS32;US65->CS1;US112->CS40;US86->CS54;US101->CS61;US39->CS63;US58->CS2;US15->CS31;US40->CS24;US33->CS9;US70->CS62;US100->CS12;US27->CS11;US71->CS39;US23->CS63;US103->CS31,-,0
6,random,US119->CS7;US74->CS18;US81->CS25;US69->CS53;US60->CS60;US32->CS40;US44->CS44;US49->CS9;US39->CS15;US94->CS38;US24->CS48;US2->CS18;US105->CS25;US125->CS5;US109->CS37;US21->CS45;US26->CS2;US18->CS26;US64->CS40;US89->CS9;US47->CS39;US80->CS32;US105->CS17;US23->CS31;US69->CS61;US40->CS56;US46->CS62;US116->CS28;US84->CS36;US78->CS22;US45->CS21;US105->CS57;US46->CS46;US34->CS26;US118->CS22;US55->CS7;US77->CS53;US112->CS0;US50->CS26;US3->CS43;US17->CS1,-,0
7,random,US106->CS42;US25->CS9;US127->CS47;US7->CS31;US7->CS55;US112->CS24;US125->CS37;US72->CS0;US39->CS55;US88->CS24;US94->CS54;US33->CS17;US95->CS39;US21->CS53;US124->CS20;US75->CS51;US88->CS48;US107->CS27;US80->CS16;US41->CS17;US69->CS29;US47->CS63;US73->CS25;US94->CS6;US39->CS7;US2->CS2;US15->CS63;US43->CS11;US39->CS15;US117->CS13;US85->CS61;US9->CS9;US51->CS43;US45->CS37;US84->CS12;US54->CS46;US38->CS14;US69->CS45;US46->CS22;US110->CS54;US44->CS44,-,0
8,random,US46->CS62;US46->CS30;US68->CS44;US40->CS16;US95->CS47;US65->CS9;US33->CS1;US120->CS40;US20->CS36;US36->CS36;US26->CS10;US70->CS6;US66->CS42;US39->CS39;US127->CS63;US65->CS57;US74->CS58;US34->CS50;US51->CS59;US100->CS44;US12->CS20;US106->CS42;US73->CS33;US56->CS32;US109->CS37;US13->CS21;US122->CS58;US23->CS15;US61->CS13;US20->CS44;US74->CS10;US89->CS57;US46->CS6;US44->CS36;US38->CS38;US35->CS27;US42->CS2;US77->CS53;US23->CS63;US102->CS22;US62->CS46,-,0
9,random,US121->CS33;US8->CS16;US68->CS44;US29->CS5;US32->CS32;US18->CS10;US115->CS35;US111->CS23;US47->CS39;US73->CS17;US35->CS59;US92->CS28;US11->CS3;US4->CS12;US111->CS63;US17->CS41;US81->CS25;US40->CS48;US92->CS12;US74->CS42;US13->CS13;US84->CS36;US64->CS56;US101->CS5;US48->CS56;US53->CS13;US4->CS4;US43->CS59;US19->CS43;US33->CS25;US12->CS44;US28->CS20;US111->CS31;US111->CS47;US54->CS6;US59->CS51;US101->CS21;US91->CS35;US30->CS14;US108->CS20;US85->CS13,-,0
10,random,US70->CS62;US99->CS43;US16->CS8;US69->CS13;US8->CS0;US59->CS43;US24->CS16;US31->CS55;US84->CS20;US93->CS29;US27->CS59;US104->CS56;US66->CS2;US8->CS56;US68->CS44;US23->CS15;US27->CS43;US72->CS0;US113->CS17;US11->CS51;US109->CS13;US67->CS27;US125->CS45;US17->CS33;US41->CS57;US29->CS13;US40->CS16;US101->CS29;US22->CS46;US0->CS0;US74->CS26;US3->CS19;US63->CS23;US68->CS52;US4->CS4;US21->CS45;US89->CS49;US127->CS47;US84->CS12;US109->CS29;US84->CS52,-,0
