epoch,policy,chosen,verdict,correct
1,random,US57->CS49;US95->CS31;US92->CS28;US56->CS16;US36->CS28;US40->CS32;US15->CS47;US53->CS13;US33->CS1;US67->CS3;US101->CS45;US49->CS57;US66->CS42;US22->CS6;US54->CS22;US46->CS14;US124->CS44;US59->CS59;US17->CS49;US45->CS13;US53->CS45;US24->CS16;US97->CS1;US116->CS28;US112->CS24;US40->CS56;US55->CS55;US68->CS12;US48->CS48;US126->CS62;US93->CS37;US55->CS15;US32->CS32;US105->CS25;US49->CS17;US127->CS39;US56->CS8;US78->CS30;US2->CS10;US103->CS7;US49->CS25,-,0
2,random,US87->CS31;US21->CS45;US22->CS38;US64->CS24;US53->CS53;US123->CS35;US68->CS36;US6->CS6;US126->CS30;US1->CS57;US71->CS7;US114->CS2;US32->CS0;US30->CS54;US103->CS47;US77->CS61;US2->CS2;US126->CS38;US104->CS24;US125->CS13;US105->CS33;US47->CS23;US94->CS22;US0->CS56;US71->CS15;US40->CS48;US98->CS42;US40->CS40;US15->CS47;US47->CS47;US62->CS46;US124->CS44;US23->CS15;US96->CS32;US57->CS41;US106->CS10;US15->CS23;US13->CS61;US25->CS41;US67->CS51;US28->CS20,-,0
3,random,US33->CS49;US88->CS0;US73->CS25;US58->CS42;US84->CS44;US59->CS35;US1->CS57;US63->CS23;US79->CS31;US110->CS30;US14->CS54;US116->CS20;US109->CS29;US102->CS6;US87->CS39;US49->CS25;US83->CS51;US113->CS9;US100->CS4;US49->CS1;US125->CS37;US90->CS10;US41->CS49;US38->CS54;US103->CS31;US7->CS23;US36->CS28;US22->CS14;US77->CS37;US50->CS18;US20->CS12;US21->CS53;US66->CS10;US57->CS41;US117->CS5;US112->CS56;US24->CS8;US81->CS57;US12->CS12;US95->CS63;US45->CS13,-,0
4,random,US111->CS15;US102->CS54;US75->CS19;US109->CS45;US6->CS30;US60->CS36;US73->CS9;US46->CS14;US116->CS20;US66->CS42;US89->CS1;US102->CS62;US104->CS48;US98->CS18;US24->CS48;US5->CS13;US37->CS61;US121->CS9;US80->CS16;US22->CS22;US25->CS41;US123->CS59;US57->CS1;US82->CS26;US57->CS17;US42->CS50;US37->CS13;US38->CS54;US62->CS14;US47->CS15;US16->CS8;US93->CS29;US31->CS47;US13->CS45;US62->CS6;US17->CS9;US59->CS59;US96->CS32;US121->CS57;US32->CS40;US22->CS6,-,0
5,random,US26->CS34;US47->CS55;US109->CS37;US8->CS40;US19->CS43;US121->CS25;US127->CS31;US78->CS30;US86->CS62;US57->CS25;US44->CS44;US55->CS7;US26->CS58;US32->CS24;US61->CS53;US62->CS46;US44->CS52;US62->CS62;US77->CS21;US72->CS56;US102->CS38;US82->CS18;US62->CS54;US3->CS19;US87->CS15;US94->CS14;US30->CS46;US85->CS37;US91->CS11;US37->CS61;US104->CS40;US16->CS48;US110->CS46;US114->CS34;US42->CS10;US38->CS38;US22->CS22;US117->CS5;US109->CS61;US89->CS49;US126->CS54,-,0
6,random,US47->CS47;US9->CS9;US43->CS43;US43->CS3;US20->CS44;US127->CS55;US3->CS35;US123->CS43;US97->CS9;US34->CS50;US9->CS57;US60->CS28;US116->CS20;US33->CS9;US46->CS54;US61->CS45;US88->CS32;US88->CS16;US101->CS45;US4->CS4;US82->CS26;US118->CS6;US47->CS15;US81->CS57;US109->CS53;US84->CS60;US119->CS39;US12->CS60;US18->CS34;US24->CS0;US104->CS8;US39->CS15;US49->CS17;US54->CS62;US106->CS10;US25->CS33;US14->CS14;US90->CS26;US38->CS30;US92->CS12;US76->CS4,-,0
7,random,US37->CS13;US89->CS1;US107->CS43;US52->CS20;US47->CS7;US118->CS14;US113->CS9;US20->CS28;US18->CS10;US90->CS2;US93->CS61;US65->CS17;US105->CS33;US35->CS19;US103->CS23;US77->CS61;US120->CS8;US81->CS25;US29->CS29;US2->CS34;US110->CS6;US70->CS30;US81->CS41;US94->CS30;US103->CS47;US115->CS43;US19->CS27;US84->CS4;US55->CS23;US126->CS54;US66->CS18;US117->CS37;US80->CS32;US41->CS57;US43->CS19;US48->CS40;US96->CS16;US120->CS56;US17->CS9;US60->CS60;US118->CS54,-,0
8,random,US74->CS26;US73->CS9;US89->CS57;US114->CS58;US104->CS32;US111->CS23;US49->CS25;US83->CS19;US95->CS23;US116->CS12;US102->CS38;US62->CS14;US89->CS9;US36->CS4;US49->CS17;US12->CS28;US45->CS37;US20->CS12;US116->CS4;US79->CS55;US70->CS6;US76->CS20;US123->CS43;US42->CS34;US46->CS30;US63->CS7;US25->CS33;US101->CS37;US91->CS51;US5->CS37;US17->CS33;US62->CS46;US2->CS50;US59->CS11;US1->CS9;US33->CS17;US99->CS59;US119->CS55;US86->CS54;US126->CS30;US43->CS19,-,0
9,random,US14->CS14;US62->CS46;US69->CS61;US2->CS10;US43->CS35;US104->CS16;US126->CS38;US106->CS58;US73->CS1;US71->CS15;US53->CS29;US63->CS55;US26->CS58;US69->CS13;US81->CS33;US65->CS25;US100->CS20;US51->CS35;US83->CS51;US7->CS15;US35->CS51;US15->CS39;US93->CS61;US112->CS24;US56->CS0;US49->CS1;US127->CS7;US72->CS56;US75->CS35;US73->CS9;US105->CS25;US46->CS6;US113->CS1;US51->CS51;US105->CS9;US112->CS8;US32->CS48;US83->CS43;US27->CS35;US68->CS20;US31->CS23,-,0
10,random,US76->CS36;US11->CS59;US11->CS27;US18->CS2;US16->CS56;US6->CS46;US75->CS3;US13->CS5;US24->CS8;US84->CS60;US68->CS12;US123->CS19;US37->CS21;US107->CS3;US85->CS61;US63->CS15;US14->CS62;US42->CS34;US47->CS31;US57->CS33;US125->CS21;US122->CS18;US42->CS50;US107->CS59;US95->CS7;US74->CS50;US8->CS16;US4->CS36;US69->CS61;US103->CS15;US82->CS58;US98->CS34;US89->CS9;US125->CS45;US1->CS1;US109->CS13;US52->CS20;US52->CS4;US22->CS46;US96->CS56;US7->CS55,-,0
11,random,US113->CS17;US43->CS43;US110->CS22;US72->CS8;US84->CS36;US121->CS9;US9->CS49;US88->CS24;US69->CS61;US34->CS10;US44->CS44;US14->CS46;US114->CS42;US111->CS47;US83->CS3;US51->CS35;US20->CS4;US12->CS12;US66->CS42;US91->CS19;US58->CS58;US7->CS47;US53->CS45;US15->CS15;US52->CS12;US46->CS22;US98->CS26;US2->CS2;US14->CS62;US106->CS18;US53->CS13;US113->CS9;US57->CS17;US97->CS9;US29->CS37;US95->CS39;US126->CS46;US4->CS52;US91->CS3;US110->CS38;US11->CS51,-,0
